GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cdi-features,io.github.jonasrutishauser.cdi.features,NoSelectedFeatureException,24,0,2,0,7,0,4,0,3,0
cdi-features,io.github.jonasrutishauser.cdi.features,Selector,3,0,0,0,1,0,1,0,1,0
cdi-features,io.github.jonasrutishauser.cdi.features,ThrowableSelector,4,7,0,0,2,2,0,1,0,1
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeaturesBuildCompatibleExtension,16,733,2,80,3,141,2,72,0,33
cdi-features,io.github.jonasrutishauser.cdi.features.impl,Cache,5,119,1,19,1,24,1,13,0,4
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension,16,617,3,63,3,113,3,58,0,28
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureCreator,0,179,0,8,0,32,0,11,0,7
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension.new TypeLiteral() {...},0,3,0,0,0,1,0,1,0,1
cdi-features,io.github.jonasrutishauser.cdi.features.impl,ConfigurationSelector,0,38,1,3,0,8,1,4,0,3
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances,0,151,2,12,0,34,2,13,0,8
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureCreator.new FeatureCreator.Lookup() {...},0,29,0,2,0,5,0,3,0,2
cdi-features,io.github.jonasrutishauser.cdi.features.impl,Cache.CacheEntry,0,14,0,0,0,5,0,1,0,1
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeaturesBuildCompatibleExtension.ScopeStop,0,10,0,0,0,3,0,2,0,2
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureHolder,5,55,3,5,1,18,3,6,0,5
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureContext,8,95,3,7,2,24,3,12,0,10
cdi-features,io.github.jonasrutishauser.cdi.features.impl,ArcFeatureCreator,0,34,0,0,0,4,0,3,0,3
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances.new ContextualSelector.Context() {...},0,21,0,0,0,3,0,3,0,3
cdi-features,io.github.jonasrutishauser.cdi.features.impl,Cache.Selection,0,27,0,2,0,3,0,3,0,2
cdi-features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances.ProperyResolver,0,10,0,0,0,2,0,1,0,1
